Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,25,27.6,56.3,20,220,1.800,20.0,31,20,51,24,7,7,56,3,26.0,20.6,17.9,38.5,299,693,271,305,43
2,Angers,Ligue 1,23,26.6,57.2,18,198,1.620,18.0,27,20,47,25,2,2,48,5,25.5,23.9,17.7,41.6,377,887,229,192,10
3,Arsenal,Premier League,24,26.6,44.7,23,253,2.070,23.0,21,15,36,19,2,2,59,1,20.2,18.6,13.6,32.3,398,605,257,259,25
4,Aston Villa,Premier League,23,26.9,50.3,22,242,1.980,22.0,34,23,57,33,1,2,60,1,26.9,25.3,19.0,44.2,397,781,291,253,50
5,Atalanta,Serie A,28,27.0,44.0,22,242,1.980,22.0,23,17,40,22,1,1,33,1,21.4,20.6,16.1,36.7,277,559,259,254,30
6,Athletic Club,La Liga,28,27.3,52.6,20,220,1.800,20.0,17,6,23,15,2,3,48,2,18.7,16.4,10.6,27.1,260,679,222,252,51
7,Atlético Madrid,La Liga,24,27.4,47.0,21,231,1.890,21.0,12,10,22,10,2,2,31,0,17.8,16.2,13.6,29.8,300,838,231,206,25
8,Augsburg,Bundesliga,28,27.3,56.5,19,209,1.710,19.0,34,24,58,31,3,3,31,2,26.7,24.4,20.2,44.6,360,808,216,196,29
9,Auxerre,Ligue 1,27,26.5,57.7,19,209,1.710,19.0,27,19,46,22,5,6,27,0,34.1,29.4,24.4,53.8,390,863,217,211,53
10,Barcelona,La Liga,26,27.5,33.3,20,220,1.800,20.0,23,16,39,20,3,3,55,0,24.7,22.4,18.1,40.4,248,427,263,172,111
11,Bayern Munich,Bundesliga,25,27.0,29.4,19,209,1.710,19.0,16,12,28,15,1,2,33,1,11.0,9.5,7.1,16.7,129,304,209,153,25
12,Betis,La Liga,33,27.7,48.9,21,231,1.890,21.0,25,15,40,21,4,4,58,3,27.3,24.2,20.3,44.4,339,772,316,239,51
13,Bochum,Bundesliga,23,27.1,56.8,19,209,1.710,19.0,43,31,74,41,2,4,29,2,39.3,35.8,30.5,66.3,345,852,173,255,45
14,Bologna,Serie A,27,26.9,43.0,21,231,1.890,21.0,25,20,45,24,1,2,47,1,21.8,20.3,15.7,35.9,283,566,342,289,25
15,Bournemouth,Premier League,28,27.0,53.9,23,253,2.070,23.0,26,20,46,25,1,1,61,2,28.6,27.9,22.1,49.9,417,821,240,298,23
16,Brentford,Premier League,26,27.2,52.6,22,242,1.980,22.0,38,28,66,37,1,1,47,2,37.5,36.7,28.7,65.4,521,1011,209,167,33
17,Brest,Ligue 1,26,26.4,51.6,18,198,1.620,18.0,30,19,49,25,5,7,39,2,32.3,26.8,20.9,47.7,292,812,226,215,38
18,Brighton,Premier League,30,26.9,46.9,23,253,2.070,23.0,30,18,48,25,5,5,62,3,33.1,29.1,25.1,54.3,351,729,268,262,65
19,Cagliari,Serie A,25,27.0,53.1,22,242,1.980,22.0,36,23,59,31,5,5,42,4,36.1,32.7,24.2,56.9,445,820,244,269,54
20,Celta Vigo,La Liga,29,27.1,46.6,20,220,1.800,20.0,30,25,55,30,0,1,52,4,22.2,21.3,17.6,38.9,329,687,260,218,32
21,Chelsea,Premier League,27,27.1,42.3,23,253,2.070,23.0,30,21,51,25,5,6,67,2,33.2,28.5,23.7,52.1,360,705,285,259,59
22,Como,Serie A,32,27.0,45.8,22,242,1.980,22.0,36,23,59,31,5,5,54,4,23.3,19.4,14.9,34.3,321,716,304,263,46
23,Crystal Palace,Premier League,25,26.7,56.3,22,242,1.980,22.0,26,21,47,26,0,1,46,2,30.1,29.3,24.1,53.3,408,891,254,227,27
24,Dortmund,Bundesliga,25,27.3,40.5,19,209,1.710,19.0,33,25,58,30,3,3,41,4,25.5,23.2,18.8,42.0,259,595,202,182,47
25,Eint Frankfurt,Bundesliga,24,27.5,50.6,18,198,1.620,18.0,23,15,38,22,1,3,27,1,26.4,24.1,19.3,43.5,316,725,175,175,45
26,Empoli,Serie A,27,27.1,59.4,22,242,1.980,22.0,29,25,54,28,1,3,31,0,29.0,26.7,19.4,46.1,365,889,283,312,20
27,Espanyol,La Liga,26,27.6,59.9,21,231,1.890,21.0,33,26,59,31,2,3,40,1,33.7,31.3,25.4,56.7,436,960,266,272,28
28,Everton,Premier League,24,26.7,59.9,22,242,1.980,22.0,28,24,52,28,0,2,25,1,29.7,28.1,22.8,50.8,423,968,224,255,37
29,Fiorentina,Serie A,29,26.9,47.4,20,220,1.800,20.0,21,15,36,20,1,3,53,5,19.4,17.1,13.2,30.2,344,613,319,219,27
30,Freiburg,Bundesliga,25,27.0,52.1,19,209,1.710,19.0,36,26,62,34,2,3,33,0,24.7,22.4,17.5,39.9,289,698,192,155,27
31,Fulham,Premier League,25,27.1,47.1,22,242,1.980,22.0,29,25,54,28,1,1,46,3,26.6,25.8,20.1,45.9,348,773,240,238,55
32,Genoa,Serie A,32,26.9,56.3,21,231,1.890,21.0,29,16,45,24,5,7,37,1,29.6,24.1,19.0,43.1,374,823,239,240,32
33,Getafe,La Liga,27,27.5,56.8,20,220,1.800,20.0,17,10,27,14,3,4,61,1,24.2,21.2,16.5,37.7,239,649,285,314,48
34,Girona,La Liga,27,27.4,41.2,20,220,1.800,20.0,27,21,48,27,0,3,49,3,22.1,19.8,15.8,35.5,296,572,238,216,24
35,Gladbach,Bundesliga,23,27.4,49.0,19,209,1.710,19.0,28,14,42,23,5,6,28,1,35.3,30.4,25.5,55.9,331,800,208,201,25
36,Heidenheim,Bundesliga,25,27.2,56.4,19,209,1.710,19.0,40,29,69,36,4,4,48,2,31.6,28.6,23.2,51.8,354,884,229,220,16
