Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Paris S-G,19,14,5,0,49,17,32,47,48.2,17.7,Ligue 1
2,Marseille,18,11,4,3,40,21,19,37,30.8,25.5,Ligue 1
3,Monaco,19,10,4,5,32,22,10,34,40.4,20.1,Ligue 1
4,Lille,19,8,8,3,29,19,10,32,30.2,24.3,Ligue 1
5,Nice,18,8,6,4,36,25,11,30,32.7,21.8,Ligue 1
6,Lyon,18,8,5,5,29,22,7,29,30.6,24.8,Ligue 1
7,Lens,18,7,6,5,22,18,4,27,28.9,21.9,Ligue 1
8,Strasbourg,19,7,6,6,33,31,2,27,27.5,34.7,Ligue 1
9,Toulouse,18,7,4,7,19,19,0,25,25.9,18.0,Ligue 1
10,Brest,18,8,1,9,28,31,-3,25,22.2,32.3,Ligue 1
11,Auxerre,19,6,5,8,25,29,-4,23,22.8,34.1,Ligue 1
12,Reims,19,5,7,7,25,27,-2,22,22.6,29.4,Ligue 1
13,Angers,18,6,4,8,21,27,-6,22,22.3,25.5,Ligue 1
14,Saint-Étienne,19,5,3,11,18,39,-21,18,19.5,37.0,Ligue 1
15,Rennes,19,5,2,12,26,30,-4,17,23.3,24.4,Ligue 1
16,Nantes,18,3,8,7,21,28,-7,17,19.6,27.2,Ligue 1
17,Le Havre,18,4,1,13,14,37,-23,13,17.9,32.1,Ligue 1
18,Montpellier,18,3,3,12,18,43,-25,12,21.7,36.4,Ligue 1
