Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Napoli,22,17,2,3,37,15,22,53,31.8,17.4,Serie A
2,Inter,20,14,5,1,51,18,33,47,39.0,16.4,Serie A
3,Atalanta,22,14,4,4,48,25,23,46,36.9,21.4,Serie A
4,Lazio,21,12,3,6,37,28,9,39,31.9,23.3,Serie A
5,Juventus,22,8,13,1,35,19,16,37,30.2,19.3,Serie A
6,Bologna,21,8,10,3,33,27,6,34,27.3,21.8,Serie A
7,Fiorentina,20,9,6,5,33,21,12,33,28.3,19.4,Serie A
8,Milan,20,8,7,5,29,21,8,31,33.1,20.3,Serie A
9,Roma,21,7,6,8,31,27,4,27,29.5,27.0,Serie A
10,Torino,22,6,8,8,23,26,-3,26,20.5,27.4,Serie A
11,Udinese,21,7,5,9,24,32,-8,26,19.2,28.2,Serie A
12,Genoa,21,5,8,8,18,30,-12,23,20.7,29.6,Serie A
13,Como,22,5,7,10,27,36,-9,22,26.4,23.3,Serie A
14,Empoli,22,4,9,9,21,29,-8,21,18.1,29.0,Serie A
15,Cagliari,22,5,6,11,23,36,-13,21,28.6,36.1,Serie A
16,Parma,21,4,8,9,26,36,-10,20,25.2,38.6,Serie A
17,Lecce,21,5,5,11,15,36,-21,20,20.6,32.9,Serie A
18,Hellas Verona,21,6,1,14,24,47,-23,19,20.2,33.9,Serie A
19,Venezia,21,3,6,12,19,34,-15,15,19.7,34.1,Serie A
20,Monza,21,2,7,12,20,31,-11,13,18.3,26.4,Serie A
