Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Bayern Munich,11,9,2,0,36,7,29,29,26.0,6.2,Bundesliga
2,Eint Frankfurt,11,7,2,2,27,16,11,23,21.7,19.1,Bundesliga
3,RB Leipzig,11,6,3,2,18,9,9,21,15.6,14.5,Bundesliga
4,Leverkusen,11,5,5,1,26,18,8,20,23.2,12.8,Bundesliga
5,Dortmund,11,6,1,4,22,18,4,19,17.3,14.1,Bundesliga
6,Gladbach,11,5,2,4,17,14,3,17,19.2,17.3,Bundesliga
7,Freiburg,11,5,2,4,13,15,-2,17,16.2,10.5,Bundesliga
8,Mainz 05,11,4,4,3,18,14,4,16,14.2,15.4,Bundesliga
9,Stuttgart,11,4,4,3,21,19,2,16,20.0,16.5,Bundesliga
10,Union Berlin,11,4,4,3,9,9,0,16,9.9,12.4,Bundesliga
11,Wolfsburg,11,4,3,4,20,18,2,15,15.1,17.6,Bundesliga
12,Werder Bremen,11,4,3,4,17,22,-5,15,14.4,15.4,Bundesliga
13,Hoffenheim,11,3,3,5,17,22,-5,12,14.2,21.1,Bundesliga
14,Augsburg,11,3,3,5,13,23,-10,12,11.8,16.8,Bundesliga
15,Heidenheim,11,3,1,7,15,20,-5,10,17.0,17.0,Bundesliga
16,St. Pauli,11,2,2,7,7,14,-7,8,9.3,15.4,Bundesliga
17,Holstein Kiel,11,1,2,8,12,28,-16,5,11.7,20.8,Bundesliga
18,Bochum,11,0,2,9,10,32,-22,2,12.7,26.3,Bundesliga
