Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Liverpool,5,5,0,0,12,1,11,15,13.0,4.1,Champions League
2,Inter,5,4,1,0,7,0,7,13,9.3,5.6,Champions League
3,Barcelona,5,4,0,1,18,5,13,12,12.4,3.4,Champions League
4,Dortmund,5,4,0,1,16,6,10,12,9.7,7.5,Champions League
5,Atalanta,5,3,2,0,11,1,10,11,10.9,3.1,Champions League
6,Leverkusen,5,3,1,1,11,5,6,10,9.8,6.3,Champions League
7,Arsenal,5,3,1,1,8,2,6,10,9.1,4.5,Champions League
8,Monaco,5,3,1,1,12,7,5,10,9.1,5.8,Champions League
9,Aston Villa,5,3,1,1,6,1,5,10,5.3,4.7,Champions League
10,Sporting CP,5,3,1,1,10,7,3,10,8.3,9.8,Champions League
11,Brest,5,3,1,1,9,6,3,10,6.2,6.5,Champions League
12,Lille,5,3,1,1,7,5,2,10,5.7,9.0,Champions League
13,Bayern Munich,5,3,0,2,12,7,5,9,12.2,4.1,Champions League
14,Benfica,5,3,0,2,10,7,3,9,10.4,5.3,Champions League
15,Atlético Madrid,5,3,0,2,11,9,2,9,8.1,8.8,Champions League
16,Milan,5,3,0,2,10,8,2,9,7.2,9.6,Champions League
17,Manchester City,5,2,2,1,13,7,6,8,13.2,6.1,Champions League
18,PSV Eindhoven,5,2,2,1,10,7,3,8,8.4,8.5,Champions League
19,Juventus,5,2,2,1,7,5,2,8,6.1,8.8,Champions League
20,Celtic,5,2,2,1,10,10,0,8,8.9,7.8,Champions League
21,Feyenoord,5,2,1,2,10,13,-3,7,6.6,9.5,Champions League
22,Club Brugge,5,2,1,2,4,7,-3,7,4.9,4.9,Champions League
23,Dinamo Zagreb,5,2,1,2,10,15,-5,7,5.0,12.4,Champions League
24,Real Madrid,5,2,0,3,9,9,0,6,11.9,9.8,Champions League
25,Paris S-G,5,1,1,3,3,6,-3,4,7.9,4.3,Champions League
26,Shakhtar,5,1,1,3,4,8,-4,4,4.8,9.1,Champions League
27,Stuttgart,5,1,1,3,4,11,-7,4,7.7,7.8,Champions League
28,Sparta Prague,5,1,1,3,5,14,-9,4,4.5,9.8,Champions League
29,Sturm Graz,5,1,0,4,2,6,-4,3,2.9,7.8,Champions League
30,Girona,5,1,0,4,4,9,-5,3,6.6,7.3,Champions League
31,Red Star,5,1,0,4,9,17,-8,3,4.5,11.6,Champions League
32,RB Salzburg,5,1,0,4,3,15,-12,3,5.4,11.3,Champions League
33,Bologna,5,0,1,4,1,7,-6,1,4.7,6.3,Champions League
34,RB Leipzig,5,0,0,5,4,10,-6,0,6.2,8.4,Champions League
35,Slovan Bratislava,5,0,0,5,4,18,-14,0,4.4,12.6,Champions League
36,Young Boys,5,0,0,5,2,17,-15,0,3.9,13.1,Champions League
