Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Barcelona,14,11,1,2,42,14,28,34,33.0,17.8,La Liga
2,Real Madrid,13,9,3,1,28,11,17,30,23.9,12.0,La Liga
3,Atlético Madrid,14,8,5,1,21,8,13,29,21.2,11.2,La Liga
4,Villarreal,13,7,4,2,25,21,4,25,22.0,16.3,La Liga
5,Athletic Club,14,6,5,3,20,13,7,23,20.2,13.9,La Liga
6,Osasuna,14,6,4,4,19,22,-3,22,14.8,20.0,La Liga
7,Girona,14,6,3,5,20,18,2,21,19.5,14.0,La Liga
8,Mallorca,14,6,3,5,13,12,1,21,15.3,11.8,La Liga
9,Betis,14,5,5,4,16,16,0,20,21.6,18.2,La Liga
10,Real Sociedad,14,5,3,6,11,11,0,18,17.5,15.0,La Liga
11,Celta Vigo,14,5,3,6,22,24,-2,18,20.7,17.1,La Liga
12,Sevilla,14,5,3,6,13,18,-5,18,15.6,18.7,La Liga
13,Rayo Vallecano,13,4,4,5,13,14,-1,16,14.9,15.4,La Liga
14,Leganés,14,3,5,6,13,19,-6,14,9.7,20.8,La Liga
15,Getafe,14,2,7,5,10,11,-1,13,14.5,12.7,La Liga
16,Alavés,14,4,1,9,15,24,-9,13,14.4,20.1,La Liga
17,Las Palmas,14,3,3,8,18,25,-7,12,13.6,25.0,La Liga
18,Valencia,12,2,4,6,12,19,-7,10,9.5,19.1,La Liga
19,Espanyol,13,3,1,9,12,26,-14,10,10.9,24.1,La Liga
20,Valladolid,14,2,3,9,10,27,-17,9,13.4,23.2,La Liga
