Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Paris S-G,12,10,2,0,36,10,26,32,31.9,10.8,Ligue 1
2,Monaco,12,8,2,2,21,10,11,26,23.8,9.4,Ligue 1
3,Marseille,12,7,2,3,27,16,11,23,17.4,20.4,Ligue 1
4,Lille,12,6,4,2,19,11,8,22,18.7,15.0,Ligue 1
5,Nice,12,5,5,2,23,12,11,20,20.3,12.5,Ligue 1
6,Lyon,12,5,4,3,19,16,3,19,21.0,15.9,Ligue 1
7,Auxerre,12,6,1,5,21,19,2,19,18.1,21.2,Ligue 1
8,Reims,12,5,3,4,20,16,4,18,15.5,18.8,Ligue 1
9,Lens,12,4,5,3,13,12,1,17,19.4,14.6,Ligue 1
10,Toulouse,12,4,3,5,13,14,-1,15,17.2,9.7,Ligue 1
11,Strasbourg,12,3,4,5,21,24,-3,13,17.6,23.2,Ligue 1
12,Brest,12,4,1,7,16,22,-6,13,14.2,23.0,Ligue 1
13,Saint-Étienne,12,4,1,7,11,25,-14,13,14.2,22.6,Ligue 1
14,Le Havre,12,4,0,8,10,23,-13,12,12.9,20.4,Ligue 1
15,Rennes,12,3,2,7,13,19,-6,11,13.0,15.1,Ligue 1
16,Nantes,12,2,4,6,14,19,-5,10,13.1,16.9,Ligue 1
17,Angers,12,2,4,6,13,21,-8,10,12.8,19.8,Ligue 1
18,Montpellier,12,2,1,9,11,32,-21,7,12.5,24.6,Ligue 1
