Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Napoli,13,9,2,2,20,9,11,29,19.3,11.5,Serie A
2,Atalanta,13,9,1,3,34,16,18,28,24.7,12.2,Serie A
3,Inter,13,8,4,1,31,14,17,28,24.7,13.5,Serie A
4,Fiorentina,13,8,4,1,27,10,17,28,20.0,12.4,Serie A
5,Lazio,13,9,1,3,28,14,14,28,23.7,11.5,Serie A
6,Juventus,13,6,7,0,21,7,14,25,18.3,8.9,Serie A
7,Milan,12,5,4,3,20,14,6,19,21.3,12.5,Serie A
8,Bologna,12,4,6,2,15,16,-1,18,12.7,14.0,Serie A
9,Udinese,13,5,2,6,16,19,-3,17,12.0,17.8,Serie A
10,Empoli,13,3,7,3,10,11,-1,16,8.8,16.6,Serie A
11,Torino,13,4,3,6,16,19,-3,15,14.2,19.4,Serie A
12,Roma,13,3,4,6,14,18,-4,13,16.2,18.5,Serie A
13,Parma,13,2,6,5,17,21,-4,12,17.3,20.8,Serie A
14,Hellas Verona,13,4,0,9,17,32,-15,12,12.0,22.5,Serie A
15,Cagliari,13,2,5,6,14,24,-10,11,18.1,22.9,Serie A
16,Genoa,13,2,5,6,11,24,-13,11,12.8,22.6,Serie A
17,Como,13,2,4,7,13,25,-12,10,14.7,15.8,Serie A
18,Monza,13,1,6,6,11,16,-5,9,9.0,15.3,Serie A
19,Lecce,12,2,3,7,5,21,-16,9,13.2,20.5,Serie A
20,Venezia,12,2,2,8,11,21,-10,8,14.4,18.5,Serie A
