Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,24,27.4,57.7,14,154,1.260,14.0,23,16,39,17,6,6,35,2,20.1,15.5,14.1,29.5,205,466,183,214,34
2,Angers,Ligue 1,23,26.0,58.1,12,132,1.080,12.0,21,16,37,20,1,1,33,2,19.8,19.0,13.7,32.7,255,627,158,123,5
3,Arsenal,Premier League,23,26.3,48.5,12,132,1.080,12.0,12,9,21,11,1,1,33,0,12.3,11.5,8.4,19.9,249,368,129,151,13
4,Aston Villa,Premier League,21,27.1,47.8,12,132,1.080,12.0,19,13,32,18,1,2,40,1,14.6,13.0,10.3,23.3,207,377,154,145,26
5,Atalanta,Serie A,28,27.0,43.8,13,143,1.170,13.0,14,10,24,14,0,0,19,1,12.2,12.2,9.5,21.7,166,307,157,148,21
6,Athletic Club,La Liga,27,26.9,51.4,14,154,1.260,14.0,12,6,18,10,2,2,38,1,13.9,12.4,8.8,21.2,182,470,151,174,32
7,Atlético Madrid,La Liga,23,27.5,47.9,14,154,1.260,14.0,6,5,11,5,1,1,23,0,11.2,10.4,8.3,18.7,214,581,147,146,18
8,Augsburg,Bundesliga,24,27.1,57.6,11,121,990,11.0,23,18,41,20,3,3,23,2,16.8,14.4,12.6,27.0,210,487,115,117,16
9,Auxerre,Ligue 1,23,26.7,55.9,12,132,1.080,12.0,18,13,31,15,3,3,18,0,21.2,18.9,15.9,34.8,250,513,146,141,33
10,Barcelona,La Liga,25,27.0,33.8,14,154,1.260,14.0,14,10,24,12,2,2,42,0,17.8,16.2,14.0,30.2,187,316,194,116,88
11,Bayern Munich,Bundesliga,22,26.9,28.5,11,121,990,11.0,7,6,13,6,1,2,15,1,6.2,4.7,4.1,8.7,67,163,118,92,14
12,Betis,La Liga,26,27.6,48.4,14,154,1.260,14.0,16,10,26,14,2,2,35,2,18.2,16.6,13.9,30.5,227,488,184,159,32
13,Bochum,Bundesliga,23,26.7,59.5,11,121,990,11.0,32,23,55,31,1,2,12,1,26.3,24.6,20.6,45.2,221,508,95,144,30
14,Bologna,Serie A,27,26.8,42.5,12,132,1.080,12.0,15,12,27,15,0,1,28,1,14.0,13.2,9.9,23.1,181,348,192,169,14
15,Bournemouth,Premier League,24,27.0,54.8,12,132,1.080,12.0,17,13,30,17,0,0,38,2,15.3,15.3,12.1,27.5,217,423,121,161,11
16,Brentford,Premier League,21,27.5,53.4,12,132,1.080,12.0,21,18,39,21,0,0,31,1,20.5,20.5,15.7,36.2,280,556,114,84,19
17,Brest,Ligue 1,25,26.3,48.6,12,132,1.080,12.0,21,12,33,17,4,6,27,2,23.0,18.3,14.0,32.4,179,486,154,145,32
18,Brighton,Premier League,28,26.6,46.9,12,132,1.080,12.0,16,11,27,14,2,2,33,3,20.0,18.4,16.5,34.9,203,415,135,126,42
19,Cagliari,Serie A,24,26.9,54.5,13,143,1.170,13.0,24,17,41,21,3,3,29,2,22.9,20.6,15.0,35.6,258,475,156,154,25
20,Celta Vigo,La Liga,26,27.0,47.6,14,154,1.260,14.0,22,19,41,22,0,1,36,3,17.1,16.2,13.5,29.6,234,528,186,153,22
21,Chelsea,Premier League,23,26.8,44.8,12,132,1.080,12.0,14,8,22,11,3,4,41,1,16.2,13.0,10.0,23.0,203,414,161,136,36
22,Como,Serie A,28,26.8,44.6,13,143,1.170,13.0,25,16,41,21,4,4,31,2,15.8,12.7,9.8,22.5,201,419,179,147,29
23,Crystal Palace,Premier League,25,27.1,55.6,12,132,1.080,12.0,17,13,30,17,0,1,26,0,19.2,18.4,15.0,33.3,224,521,136,124,17
24,Dortmund,Bundesliga,25,27.3,38.6,11,121,990,11.0,18,13,31,16,2,2,23,2,14.1,12.5,10.1,22.7,128,288,119,109,27
25,Eint Frankfurt,Bundesliga,24,27.4,55.5,11,121,990,11.0,16,12,28,15,1,3,20,0,19.1,16.8,13.3,30.0,203,505,109,108,25
26,Empoli,Serie A,25,27.2,63.2,13,143,1.170,13.0,11,10,21,10,1,3,17,0,16.6,14.3,10.3,24.6,223,556,158,192,9
27,Espanyol,La Liga,23,27.5,60.2,13,143,1.170,13.0,26,22,48,25,1,2,25,0,24.1,22.5,18.6,41.1,280,630,164,165,22
28,Everton,Premier League,22,27.1,59.1,12,132,1.080,12.0,17,14,31,17,0,1,12,1,17.1,16.3,13.7,29.9,212,510,124,126,19
29,Fiorentina,Serie A,27,26.6,46.3,13,143,1.170,13.0,10,9,19,10,0,2,33,4,12.4,10.8,8.9,19.7,227,398,203,144,16
