Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,24,27.0,42.4,14,154,1.260,14.0,15,7,22,13,2,3,41,2,14.4,12.1,8.0,20.1,171,415,226,172,32
2,Angers,Ligue 1,23,27.8,41.9,12,132,1.080,12.0,13,7,20,10,3,4,18,1,12.8,9.6,7.5,17.1,186,347,130,151,22
3,Arsenal,Premier League,23,26.5,51.5,12,132,1.080,12.0,20,17,37,20,0,0,33,3,18.2,18.2,14.0,32.2,232,516,151,127,23
4,Aston Villa,Premier League,21,27.3,52.2,12,132,1.080,12.0,18,16,34,18,0,1,32,1,19.2,18.4,14.6,33.0,224,428,149,151,12
5,Atalanta,Serie A,28,27.3,56.2,13,143,1.170,13.0,33,23,56,30,3,4,23,0,24.7,21.5,17.1,38.7,284,675,151,149,20
6,Athletic Club,La Liga,27,27.3,48.6,14,154,1.260,14.0,20,18,38,19,1,3,31,3,20.2,17.8,14.9,32.7,254,607,182,146,28
7,Atlético Madrid,La Liga,23,29.3,52.1,14,154,1.260,14.0,21,18,39,20,1,1,27,1,21.2,20.4,16.5,36.9,254,582,156,139,23
8,Augsburg,Bundesliga,24,27.4,42.4,11,121,990,11.0,13,9,22,13,0,1,29,2,11.8,11.0,7.3,18.3,137,380,125,114,15
9,Auxerre,Ligue 1,23,26.4,44.1,12,132,1.080,12.0,21,16,37,19,2,3,28,2,18.1,15.8,14.3,30.1,183,424,150,136,22
10,Barcelona,La Liga,25,25.0,66.2,14,154,1.260,14.0,42,31,73,40,2,3,28,2,33.0,30.7,25.9,56.6,287,706,123,186,30
11,Bayern Munich,Bundesliga,22,28.4,71.5,11,121,990,11.0,34,19,53,29,5,5,13,0,26.0,22.2,18.2,40.4,284,761,95,111,17
12,Betis,La Liga,26,27.7,51.6,14,154,1.260,14.0,14,10,24,13,1,2,29,1,21.6,20.1,15.9,36.0,227,561,168,171,26
13,Bochum,Bundesliga,23,28.5,40.5,11,121,990,11.0,10,7,17,10,0,1,19,0,12.7,11.9,9.6,21.5,106,295,148,94,19
14,Bologna,Serie A,27,26.8,57.5,12,132,1.080,12.0,15,11,26,14,1,1,19,2,12.7,12.0,8.2,20.1,200,524,182,180,20
15,Bournemouth,Premier League,24,25.9,45.2,12,132,1.080,12.0,16,13,29,15,1,2,34,0,20.5,18.9,15.0,33.8,228,479,166,117,29
16,Brentford,Premier League,21,26.5,46.6,12,132,1.080,12.0,22,13,35,20,2,2,17,1,19.3,17.7,13.3,31.0,165,402,86,107,21
17,Brest,Ligue 1,25,28.7,51.4,12,132,1.080,12.0,16,9,25,11,5,6,22,1,14.2,9.5,7.4,16.8,164,372,157,139,15
18,Brighton,Premier League,28,26.1,53.1,12,132,1.080,12.0,21,14,35,21,0,0,28,1,17.4,17.4,12.2,29.6,241,518,133,132,13
19,Cagliari,Serie A,24,27.3,45.5,13,143,1.170,13.0,13,8,21,10,3,3,29,3,18.1,15.7,11.9,27.6,179,395,169,148,23
