Squadra,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,21,26.1,50.6,5,55,450,5.0,2,1,3,1,1,2,6,0,4.5,2.8,2.2,5.0,80,158
Aston Villa,22,26.2,52.4,5,55,450,5.0,1,0,1,0,1,1,15,0,4.7,3.9,3.2,7.2,81,162
Atalanta,21,25.8,45.6,5,55,450,5.0,1,1,2,1,0,0,6,0,3.1,3.1,2.9,6.0,45,123
Atlético Madrid,21,26.0,50.2,5,55,450,5.0,9,5,14,6,3,3,8,0,8.8,6.4,4.9,11.3,81,177
Barcelona,24,27.1,40.6,5,55,450,5.0,5,5,10,5,0,0,14,0,3.4,3.4,3.0,6.3,60,138
Bayern Munich,20,26.2,34.0,5,55,450,5.0,7,7,14,7,0,0,11,1,4.1,4.1,3.5,7.6,58,80
Benfica,20,27.1,51.6,5,55,450,5.0,7,6,13,7,0,0,13,1,5.3,5.3,4.4,9.7,118,202
Bologna,21,25.5,50.4,5,55,450,5.0,7,5,12,7,0,1,15,0,6.3,5.5,4.2,9.7,85,154
Brest,20,25.1,56.0,5,55,450,5.0,5,4,9,4,1,1,14,1,6.5,5.7,4.7,10.4,80,245
Celtic,20,27.5,47.4,5,55,450,5.0,9,3,12,7,2,2,9,0,7.8,6.2,5.1,11.4,91,207
Club Brugge,19,26.6,56.0,5,55,450,5.0,7,5,12,6,1,1,15,0,4.9,4.1,3.9,8.0,81,215
Dinamo Zagreb,22,26.2,61.8,5,55,450,5.0,15,8,23,11,4,4,8,1,12.4,9.8,5.9,15.6,138,285
Dortmund,22,26.4,40.2,5,55,450,5.0,6,3,9,6,0,0,7,0,7.5,7.5,3.8,11.3,78,153
Feyenoord,23,26.4,56.6,5,55,450,5.0,12,7,19,11,1,3,11,0,9.5,7.1,5.0,12.1,97,202
Girona,24,25.6,45.4,5,55,450,5.0,5,4,9,5,0,1,12,0,7.3,6.5,4.4,10.9,91,167
Inter,20,26.7,52.2,5,55,450,5.0,0,0,0,0,0,0,10,0,5.6,5.6,4.0,9.6,111,246
Juventus,23,26.1,46.2,5,55,450,5.0,5,4,9,4,1,2,7,0,8.8,7.4,6.5,13.8,73,190
Leverkusen,23,26.2,45.4,5,55,450,5.0,5,3,8,5,0,0,7,0,6.3,6.3,4.6,10.8,91,180
Lille,20,26.5,58.4,5,55,450,5.0,5,3,8,4,1,1,14,0,9.0,8.2,6.6,14.8,100,217
Liverpool,21,26.7,46.2,5,55,450,5.0,1,1,2,1,0,1,12,0,4.1,3.3,2.5,5.8,94,155
Manchester City,23,27.4,30.2,5,55,450,5.0,7,3,10,5,2,2,5,0,6.1,4.7,3.0,7.7,49,75
Milan,20,27.4,46.0,5,55,450,5.0,8,6,14,7,1,1,14,2,9.6,8.8,7.0,15.8,77,191
Monaco,21,26.8,42.8,5,55,450,5.0,7,5,12,6,1,1,15,1,5.8,5.0,3.5,8.5,69,156
Paris S-G,19,27.4,39.2,5,55,450,5.0,6,3,9,6,0,0,13,0,4.3,4.3,3.1,7.4,72,128
PSV Eindhoven,22,25.5,43.6,5,55,450,5.0,7,5,12,7,0,0,9,2,8.5,8.5,6.3,14.8,99,175
RB Leipzig,21,27.7,54.8,5,55,450,5.0,9,8,17,9,0,0,8,1,8.4,8.4,7.0,15.4,103,222
RB Salzburg,23,27.1,49.8,5,55,450,5.0,15,9,24,14,1,1,6,1,11.3,10.7,7.9,18.6,94,201
Real Madrid,21,26.3,50.0,5,55,450,5.0,9,7,16,8,1,2,8,0,9.8,8.2,7.0,15.2,93,186
Red Star,24,26.6,61.6,5,55,450,5.0,17,11,28,16,1,1,7,0,11.6,10.8,8.3,19.1,101,295
Shakhtar,20,26.3,55.4,5,55,450,5.0,7,4,11,7,0,1,12,0,9.1,8.3,6.8,15.1,128,270
Slovan Bratislava,23,27.3,61.4,5,55,450,5.0,18,13,31,17,1,2,8,0,12.6,11.0,9.4,20.4,149,311
Sparta Prague,24,26.5,66.8,5,55,450,5.0,13,10,23,12,1,1,6,0,9.8,9.1,7.7,16.7,154,274
Sporting CP,21,25.3,53.2,5,55,450,5.0,7,3,10,6,1,2,14,1,9.8,8.3,5.2,13.5,93,227
Sturm Graz,21,27.1,62.6,5,55,450,5.0,6,5,11,6,0,0,6,0,7.8,7.8,7.2,15.0,82,237
Stuttgart,21,26.6,38.8,5,55,450,5.0,11,8,19,11,0,0,14,1,7.8,7.8,6.7,14.5,101,155
Young Boys,22,26.7,56.6,5,55,450,5.0,16,15,31,16,0,1,4,0,13.1,12.3,11.0,23.3,102,222
