Squadra,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,21,26.2,49.4,5,55,450,5.0,7,4,11,6,1,2,6,0,9.1,7.5,6.2,13.6,81,180
Aston Villa,22,27.4,47.6,5,55,450,5.0,6,5,11,6,0,0,12,0,5.3,5.3,4.4,9.7,64,163
Atalanta,21,27.7,54.4,5,55,450,5.0,11,10,21,11,0,1,7,0,10.9,10.0,8.8,18.8,134,253
Atlético Madrid,21,29.1,49.8,5,55,450,5.0,11,8,19,11,0,0,12,0,8.1,8.1,6.8,14.9,114,195
Barcelona,24,25.1,59.4,5,55,450,5.0,17,14,31,16,1,1,3,1,12.4,11.6,9.5,21.1,91,287
Bayern Munich,20,28.4,66.0,5,55,450,5.0,12,7,19,9,3,3,8,0,12.2,10.2,8.1,18.3,136,292
Benfica,20,26.7,48.4,5,55,450,5.0,10,4,14,8,2,2,11,0,10.4,8.8,5.2,14.0,97,165
Bologna,21,26.7,49.6,5,55,450,5.0,1,1,2,1,0,0,14,0,4.7,4.7,3.4,8.1,79,191
Brest,20,28.7,44.0,5,55,450,5.0,8,3,11,8,0,0,12,0,6.2,6.2,4.7,10.8,64,109
Celtic,20,27.4,52.6,5,55,450,5.0,10,8,18,9,1,1,6,0,8.9,8.1,6.8,15.0,72,192
Club Brugge,19,26.0,44.0,5,55,450,5.0,3,2,5,2,1,1,10,1,4.9,4.1,3.3,7.4,68,171
Dinamo Zagreb,22,27.8,38.2,5,55,450,5.0,10,9,19,10,0,0,12,0,5.0,5.0,3.7,8.7,81,133
Dortmund,22,27.2,59.8,5,55,450,5.0,16,9,25,13,3,3,5,0,9.7,7.4,6.3,13.7,116,246
Feyenoord,23,25.7,43.4,5,55,450,5.0,8,5,13,8,0,1,7,1,6.6,5.8,4.1,9.8,81,160
Girona,24,27.7,54.6,5,55,450,5.0,4,2,6,4,0,2,16,1,6.6,5.0,4.5,9.5,82,192
Inter,20,30.1,47.8,5,55,450,5.0,6,3,9,4,2,3,7,0,9.3,6.9,5.6,12.5,70,163
Juventus,23,25.0,53.8,5,55,450,5.0,7,5,12,6,1,1,8,2,6.1,5.3,4.4,9.8,121,179
Leverkusen,23,27.0,54.6,5,55,450,5.0,10,6,16,9,1,1,9,0,9.8,9.2,7.0,16.2,96,218
Lille,20,25.6,41.6,5,55,450,5.0,7,4,11,5,2,2,14,1,5.7,4.2,2.4,6.6,75,126
Liverpool,21,27.2,53.8,5,55,450,5.0,12,11,23,12,0,1,10,0,13.0,12.2,10.0,22.2,101,260
Manchester City,23,26.6,69.8,5,55,450,5.0,13,8,21,11,2,3,6,0,13.2,11.0,9.4,20.4,181,369
Milan,20,26.6,54.0,5,55,450,5.0,10,7,17,10,0,0,14,0,7.2,7.2,5.4,12.6,126,228
Monaco,21,25.0,57.2,5,55,450,5.0,12,9,21,11,1,1,14,1,9.1,8.5,6.4,14.9,89,226
Paris S-G,19,24.5,60.8,5,55,450,5.0,2,2,4,2,0,0,8,1,7.9,7.9,5.9,13.8,148,278
PSV Eindhoven,22,25.7,56.4,5,55,450,5.0,9,5,14,9,0,0,15,0,8.4,8.4,5.4,13.8,108,271
RB Leipzig,21,26.0,45.2,5,55,450,5.0,4,1,5,3,1,1,10,0,6.2,5.5,4.0,9.5,58,149
RB Salzburg,23,22.9,50.2,5,55,450,5.0,3,3,6,3,0,1,11,1,5.4,4.6,3.2,7.9,111,191
Real Madrid,21,27.4,50.0,5,55,450,5.0,9,5,14,8,1,2,18,0,11.9,10.3,7.7,18.0,119,232
Red Star,24,27.0,38.4,5,55,450,5.0,9,7,16,8,1,1,10,0,4.5,3.7,3.2,6.9,69,155
Shakhtar,20,24.6,44.6,5,55,450,5.0,4,4,8,4,0,1,8,1,4.8,4.0,3.5,7.5,66,124
Slovan Bratislava,23,29.0,38.6,5,55,450,5.0,4,3,7,4,0,0,11,1,4.4,4.4,3.1,7.5,53,119
Sparta Prague,24,26.5,33.2,5,55,450,5.0,5,3,8,5,0,0,5,0,4.5,4.5,3.0,7.5,46,105
Sporting CP,21,24.7,46.8,5,55,450,5.0,10,7,17,8,2,2,8,0,8.3,6.8,5.7,12.5,98,147
Sturm Graz,21,23.5,37.4,5,55,450,5.0,1,0,1,1,0,0,14,1,2.9,2.9,2.1,5.0,43,127
Stuttgart,21,25.5,61.2,5,55,450,5.0,4,4,8,4,0,1,7,0,7.7,6.9,6.1,13.0,88,248
Young Boys,22,25.3,43.4,5,55,450,5.0,2,2,4,2,0,0,15,0,3.9,3.9,2.9,6.9,73,137
