Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,25,27.1,43.8,20,220,1.800,20.0,24,12,36,20,4,5,54,2,22.2,18.2,12.6,30.8,250,607,324,255,41
2,Angers,Ligue 1,23,28.1,42.8,18,198,1.620,18.0,20,13,33,17,3,4,25,1,22.3,19.2,15.5,34.7,276,542,203,218,36
3,Arsenal,Premier League,24,26.4,55.3,23,253,2.070,23.0,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,476,1052,264,250,50
4,Aston Villa,Premier League,23,27.6,49.7,22,242,1.980,22.0,32,25,57,30,2,3,48,2,32.9,30.5,23.8,54.4,378,732,261,285,27
5,Atalanta,Serie A,28,27.3,56.0,22,242,1.980,22.0,47,34,81,44,3,4,45,0,36.9,33.8,27.3,61.1,488,1065,264,247,37
6,Athletic Club,La Liga,28,27.4,47.4,20,220,1.800,20.0,31,25,56,30,1,3,39,3,27.5,25.1,20.0,45.1,359,829,262,214,35
7,Atlético Madrid,La Liga,24,29.1,53.0,21,231,1.890,21.0,35,28,63,34,1,2,48,1,36.0,34.5,27.4,61.9,413,902,223,214,35
8,Augsburg,Bundesliga,28,27.3,43.5,19,209,1.710,19.0,23,15,38,22,1,2,51,2,20.2,18.6,13.3,31.9,239,649,209,215,35
9,Auxerre,Ligue 1,27,26.5,42.3,19,209,1.710,19.0,25,18,43,23,2,3,38,4,22.8,20.6,17.6,38.2,263,638,225,204,29
10,Barcelona,La Liga,26,25.0,66.8,20,220,1.800,20.0,52,37,89,49,3,4,35,2,49.8,46.7,39.0,85.7,447,1147,182,252,45
11,Bayern Munich,Bundesliga,25,28.4,70.6,19,209,1.710,19.0,56,36,92,49,7,7,29,0,45.8,40.4,32.9,73.4,495,1240,161,199,28
12,Betis,La Liga,33,27.7,51.1,21,231,1.890,21.0,21,14,35,18,3,4,46,3,29.7,26.7,20.9,47.6,330,801,252,297,30
13,Bochum,Bundesliga,23,28.7,43.2,19,209,1.710,19.0,17,13,30,16,1,2,37,1,22.0,20.5,17.0,37.5,209,563,261,166,31
14,Bologna,Serie A,27,26.8,57.0,21,231,1.890,21.0,33,23,56,29,4,5,34,3,27.3,23.4,16.9,40.3,343,853,312,321,31
