Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
Arsenal,Champions League,24,26.3,46.9,8,88,720,8.0,3,2,5,2,1,2,13,0,5.8,4.1,3.5,7.6,126,218,70,81,9
Aston Villa,Champions League,22,26.2,48.8,8,88,720,8.0,6,3,9,5,1,1,17,0,9.3,8.5,6.5,15.0,130,225,102,76,26
Atalanta,Champions League,22,25.9,47.3,8,88,720,8.0,6,5,11,6,0,0,8,0,8.4,8.4,7.4,15.8,87,194,82,79,9
Atlético Madrid,Champions League,23,26.2,51.5,8,88,720,8.0,12,7,19,8,4,4,14,1,11.2,8.0,6.3,14.4,133,318,79,74,13
Barcelona,Champions League,26,27.0,38.5,8,88,720,8.0,12,9,21,10,2,2,23,1,10.7,9.1,7.4,16.5,104,224,90,79,48
Bayern Munich,Champions League,25,26.4,31.1,8,88,720,8.0,12,11,23,11,1,1,17,1,8.0,7.2,6.3,13.5,92,118,71,76,10
Benfica,Champions League,21,26.6,56.0,8,88,720,8.0,12,8,20,10,2,2,23,1,10.1,8.5,7.1,15.6,177,372,79,70,14
Bologna,Champions League,24,25.6,50.8,8,88,720,8.0,9,6,15,8,1,2,28,0,9.9,8.3,6.4,14.7,120,219,108,111,15
Brest,Champions League,21,25.7,56.5,8,88,720,8.0,10,6,16,8,2,2,21,1,12.5,11.0,8.9,19.8,132,390,107,91,19
Celtic,Champions League,22,27.4,45.9,8,88,720,8.0,13,7,20,11,2,3,15,0,13.3,10.9,9.0,20.0,147,281,80,78,13
Club Brugge,Champions League,19,26.4,58.3,8,88,720,8.0,10,7,17,9,1,1,21,0,8.5,7.7,6.0,13.7,157,409,68,72,12
Dinamo Zagreb,Champions League,25,26.7,62.1,8,88,720,8.0,19,11,30,15,4,4,17,2,16.4,13.7,8.6,22.3,198,468,85,73,12
Dortmund,Champions League,22,26.1,45.4,8,88,720,8.0,12,6,18,12,0,0,15,0,11.9,11.9,6.7,18.6,134,244,88,84,17
Feyenoord,Champions League,25,26.6,58.5,8,88,720,8.0,17,11,28,16,1,3,22,0,13.8,11.5,9.0,20.5,157,392,80,78,11
Girona,Champions League,26,26.4,49.1,8,88,720,8.0,9,6,15,7,2,4,18,0,12.6,9.4,6.9,16.3,165,289,96,111,8
Inter,Champions League,21,26.7,48.5,8,88,720,8.0,1,1,2,1,0,0,14,1,7.3,7.3,5.1,12.4,149,324,99,70,4
Juventus,Champions League,23,26.5,47.1,8,88,720,8.0,7,6,13,6,1,2,11,0,13.0,11.5,10.1,21.6,123,301,70,74,4
Leverkusen,Champions League,23,27.1,40.9,8,88,720,8.0,7,4,11,7,0,0,14,1,8.0,8.0,6.0,14.1,124,242,64,78,7
Lille,Champions League,23,26.3,52.6,8,88,720,8.0,10,7,17,9,1,1,18,0,13.5,12.7,10.9,23.6,146,308,89,78,19
Liverpool,Champions League,27,26.8,45.8,8,88,720,8.0,5,3,8,5,0,1,20,1,7.1,6.3,4.7,11.0,141,243,77,82,25
Manchester City,Champions League,23,26.7,34.0,8,88,720,8.0,14,7,21,12,2,2,7,0,11.1,9.6,6.3,16.0,103,155,57,57,17
Milan,Champions League,22,27.6,47.4,8,88,720,8.0,11,7,18,10,1,1,21,2,12.4,11.6,8.9,20.5,119,301,102,84,20
Monaco,Champions League,23,27.3,49.1,8,88,720,8.0,13,8,21,11,2,2,22,1,12.9,11.3,8.4,19.7,122,332,100,93,18
Paris S-G,Champions League,20,26.8,38.1,8,88,720,8.0,8,3,11,8,0,0,19,0,6.9,6.9,4.8,11.7,121,210,91,69,12
PSV Eindhoven,Champions League,25,26.0,44.5,8,88,720,8.0,12,7,19,11,1,1,15,3,14.3,13.5,9.4,22.9,153,281,80,79,9
RB Leipzig,Champions League,23,26.9,52.5,8,88,720,8.0,14,11,25,14,0,0,12,1,12.7,12.7,10.4,23.0,146,330,78,86,14
RB Salzburg,Champions League,24,27.3,54.9,8,88,720,8.0,27,19,46,26,1,1,7,1,19.4,18.8,14.7,33.5,157,377,90,86,4
Real Madrid,Champions League,23,26.5,47.1,8,88,720,8.0,12,9,21,10,2,3,10,0,14.9,12.6,10.9,23.5,174,305,87,86,13
Red Star,Champions League,24,26.5,55.4,8,88,720,8.0,22,15,37,21,1,1,11,1,14.9,14.1,10.8,24.9,146,405,110,74,13
Shakhtar,Champions League,21,26.9,55.1,8,88,720,8.0,15,9,24,14,1,2,16,0,15.5,13.9,10.8,24.7,192,392,75,81,6
Slovan Bratislava,Champions League,23,27.5,62.5,8,88,720,8.0,27,19,46,26,1,2,11,0,21.6,20.0,15.7,35.7,253,572,104,69,9
Sparta Prague,Champions League,26,27.0,66.1,8,88,720,8.0,20,14,34,19,1,1,11,0,13.3,12.5,9.9,22.4,227,440,62,76,15
Sporting CP,Champions League,22,25.4,50.0,8,88,720,8.0,11,6,17,10,1,2,26,1,14.2,12.7,8.5,21.3,133,308,118,82,18
Sturm Graz,Champions League,23,27.0,62.5,8,88,720,8.0,14,11,25,14,0,0,9,0,16.2,16.2,13.8,30.0,143,413,88,101,13
Stuttgart,Champions League,23,26.6,41.1,8,88,720,8.0,17,14,31,17,0,0,22,1,11.1,11.1,9.8,20.9,144,249,101,86,15
Young Boys,Champions League,24,26.7,58.3,8,88,720,8.0,22,21,43,22,0,2,7,1,19.1,17.4,15.5,32.9,162,341,80,110,19
