Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
Arsenal,Champions League,24,26.6,53.1,8,88,720,8.0,15,9,24,13,2,4,12,0,15.8,12.7,10.0,22.7,142,340,88,65,13
Aston Villa,Champions League,22,27.6,51.3,8,88,720,8.0,13,11,24,13,0,1,17,0,12.3,11.5,9.9,21.5,120,292,83,97,12
Atalanta,Champions League,22,27.9,52.8,8,88,720,8.0,20,17,37,19,1,2,13,0,20.4,18.7,16.1,34.7,212,405,84,78,22
Atlético Madrid,Champions League,23,29.2,48.5,8,88,720,8.0,20,16,36,20,0,0,14,1,13.0,13.0,11.1,24.1,170,327,78,72,11
Barcelona,Champions League,26,25.2,61.5,8,88,720,8.0,27,20,47,24,3,3,9,1,20.4,18.1,14.8,32.8,154,424,80,87,5
Bayern Munich,Champions League,25,28.4,68.9,8,88,720,8.0,20,10,30,16,4,4,14,0,21.8,19.1,14.0,33.1,239,578,78,64,16
Benfica,Champions League,21,26.7,44.0,8,88,720,8.0,15,7,22,12,3,3,19,1,17.1,14.7,9.4,24.1,141,233,76,76,21
Bologna,Champions League,24,26.5,49.3,8,88,720,8.0,4,3,7,4,0,0,28,0,8.1,8.1,5.8,13.9,131,269,115,104,25
Brest,Champions League,21,28.6,43.5,8,88,720,8.0,9,3,12,9,0,0,17,0,9.6,9.6,7.2,16.7,112,220,97,102,13
Celtic,Champions League,22,27.6,54.1,8,88,720,8.0,12,9,21,11,1,2,10,1,12.0,10.4,8.3,18.7,128,286,79,74,17
Club Brugge,Champions League,19,26.0,41.8,8,88,720,8.0,5,3,8,4,1,1,14,1,7.8,7.0,5.6,12.6,99,248,74,63,10
Dinamo Zagreb,Champions League,25,27.8,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,7.0,7.0,5.2,12.2,120,186,84,80,15
Dortmund,Champions League,22,27.0,54.6,8,88,720,8.0,22,13,35,17,5,5,14,0,15.8,11.9,10.8,22.7,159,329,88,87,15
Feyenoord,Champions League,25,25.8,41.5,8,88,720,8.0,16,10,26,15,1,2,10,1,10.0,8.4,6.1,14.5,118,244,79,76,13
Girona,Champions League,26,27.9,50.9,8,88,720,8.0,5,3,8,5,0,2,25,1,9.6,8.0,6.9,14.9,133,284,116,94,12
Inter,Champions League,21,30.0,51.5,8,88,720,8.0,10,5,15,7,3,4,14,0,14.3,11.1,8.8,19.9,122,305,76,91,19
Juventus,Champions League,23,25.3,52.9,8,88,720,8.0,9,7,16,8,1,1,12,2,8.6,7.8,6.3,14.1,174,317,79,66,20
Leverkusen,Champions League,23,27.0,59.1,8,88,720,8.0,14,9,23,13,1,1,15,1,13.3,12.7,9.8,22.5,167,381,85,58,11
Lille,Champions League,23,25.9,47.4,8,88,720,8.0,15,10,25,13,2,2,21,2,9.5,8.0,5.4,13.3,131,275,84,82,15
Liverpool,Champions League,27,27.1,54.3,8,88,720,8.0,17,12,29,15,2,3,17,1,18.9,16.5,13.4,30.0,163,380,86,73,11
Manchester City,Champions League,23,27.3,66.0,8,88,720,8.0,17,10,27,15,2,3,9,0,18.2,16.0,12.5,28.5,263,535,61,56,8
Milan,Champions League,22,26.7,52.6,8,88,720,8.0,14,10,24,14,0,0,23,1,11.5,11.5,8.9,20.4,191,372,87,95,9
Monaco,Champions League,23,25.2,50.9,8,88,720,8.0,13,9,22,12,1,1,18,2,11.4,10.7,8.1,18.8,134,289,99,96,24
Paris S-G,Champions League,20,24.6,61.9,8,88,720,8.0,13,10,23,13,0,0,10,1,16.2,16.2,13.1,29.3,226,457,75,86,11
PSV Eindhoven,Champions League,25,26.0,55.5,8,88,720,8.0,15,10,25,15,0,0,20,1,12.2,12.2,8.7,20.8,145,399,83,70,13
RB Leipzig,Champions League,23,25.8,47.5,8,88,720,8.0,8,4,12,7,1,1,15,0,12.3,11.6,8.6,20.2,96,247,89,70,19
RB Salzburg,Champions League,24,23.1,45.1,8,88,720,8.0,5,5,10,5,0,1,16,1,6.6,5.9,4.3,10.2,176,283,92,81,14
Real Madrid,Champions League,23,27.7,52.9,8,88,720,8.0,20,13,33,19,1,2,24,0,19.4,17.8,13.4,31.2,173,341,94,83,7
Red Star,Champions League,24,27.0,44.6,8,88,720,8.0,13,10,23,12,1,1,13,0,9.3,8.5,6.9,15.4,144,283,77,106,19
Shakhtar,Champions League,21,24.7,44.9,8,88,720,8.0,8,5,13,7,1,2,13,1,8.3,6.7,5.2,12.0,103,195,85,72,10
Slovan Bratislava,Champions League,23,29.0,37.5,8,88,720,8.0,7,5,12,6,1,1,17,1,7.0,6.2,4.6,10.8,95,197,72,102,12
Sparta Prague,Champions League,26,26.7,33.9,8,88,720,8.0,6,3,9,6,0,0,13,0,6.3,6.3,4.3,10.6,81,184,81,55,8
Sporting CP,Champions League,22,24.4,50.0,8,88,720,8.0,13,9,22,11,2,2,16,0,11.6,10.2,8.0,18.2,149,282,91,117,10
Sturm Graz,Champions League,23,24.0,37.5,8,88,720,8.0,4,2,6,4,0,0,17,1,6.2,6.2,4.9,11.1,74,186,105,86,18
Stuttgart,Champions League,23,25.7,58.9,8,88,720,8.0,12,11,23,12,0,1,13,0,14.1,13.3,11.0,24.4,141,396,91,96,17
Young Boys,Champions League,24,25.4,41.8,8,88,720,8.0,3,3,6,3,0,0,24,0,5.6,5.6,4.1,9.7,111,221,116,74,15
