Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,17,27.8,44.0,2,22,180,2.0,2,0,2,2,0,0,3,0,2.8,2.8,1.4,4.1,22,62,23,28,5
2,Angers,Ligue 1,18,26.1,75.5,2,22,180,2.0,1,0,1,1,0,1,1,0,2.8,2.0,1.3,3.2,68,145,13,20,4
3,Arsenal,Premier League,20,26.3,47.0,2,22,180,2.0,0,0,0,0,0,0,3,0,1.7,1.7,1.2,2.9,41,57,21,27,1
4,Aston Villa,Premier League,18,26.8,41.5,2,22,180,2.0,1,0,1,1,0,0,2,0,2.6,2.6,2.3,4.9,42,67,22,22,2
5,Atalanta,Serie A,16,27.1,34.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,7,15,10,7,2
6,Athletic Club,La Liga,19,28.0,57.0,2,22,180,2.0,2,2,4,2,0,0,6,0,1.3,1.3,1.1,2.3,38,68,25,19,15
7,Atlético Madrid,La Liga,18,27.3,41.0,2,22,180,2.0,3,3,6,3,0,0,6,0,1.8,1.8,1.8,3.6,26,50,21,22,0
8,Augsburg,Bundesliga,15,27.9,61.0,1,11,90,1.0,1,0,1,0,1,1,4,0,2.4,1.6,1.2,2.9,13,50,14,15,4
9,Auxerre,Ligue 1,18,24.8,56.0,2,22,180,2.0,2,2,4,2,0,0,4,0,3.2,3.2,2.9,6.1,33,76,23,32,3
10,Barcelona,La Liga,19,28.3,24.5,2,22,180,2.0,2,1,3,1,1,1,7,2,2.0,1.5,1.4,2.9,8,22,18,23,8
11,Bayern Munich,Bundesliga,16,26.0,37.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.5,0.5,0.4,1.0,22,31,13,11,0
12,Betis,La Liga,18,26.6,55.3,3,33,270,3.0,2,1,3,2,0,0,4,0,2.6,2.6,2.2,4.8,57,140,44,30,12
13,Bologna,Serie A,16,26.6,51.0,1,11,90,1.0,1,0,1,1,0,0,1,0,1.6,1.6,1.3,2.8,24,24,15,13,1
14,Bournemouth,Premier League,18,27.5,51.0,2,22,180,2.0,4,3,7,4,0,0,5,1,2.7,2.7,2.3,5.0,29,61,23,23,4
15,Brentford,Premier League,18,27.8,65.0,2,22,180,2.0,3,2,5,3,0,0,3,0,3.0,3.0,2.7,5.7,46,89,16,26,2
16,Brest,Ligue 1,20,25.8,56.3,3,33,270,3.0,8,3,11,7,1,1,2,0,6.7,5.9,3.3,9.2,38,135,34,28,7
17,Brighton,Premier League,17,28.3,46.5,2,22,180,2.0,3,2,5,3,0,0,7,0,2.3,2.3,2.0,4.3,28,53,22,31,2
18,Burnley,Premier League,17,24.8,62.0,2,22,180,2.0,3,3,6,3,0,0,1,0,3.0,3.0,2.5,5.6,39,80,19,16,2
19,Cagliari,Serie A,16,26.8,55.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,1.0,1.9,14,26,14,18,4
20,Celta Vigo,La Liga,21,27.8,44.7,3,33,270,3.0,4,3,7,4,0,0,7,0,2.4,2.4,2.2,4.6,30,96,40,40,3
21,Chelsea,Premier League,18,27.2,35.5,2,22,180,2.0,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,13,44,19,19,4
22,Como,Serie A,16,27.5,37.0,1,11,90,1.0,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,8,13,12,15,1
23,Cremonese,Serie A,18,27.0,60.5,2,22,180,2.0,3,2,5,2,1,1,3,0,3.1,2.4,2.0,4.4,40,102,27,25,3
24,Crystal Palace,Premier League,15,25.5,64.5,2,22,180,2.0,1,1,2,1,0,0,5,0,2.5,2.5,1.6,4.1,33,104,21,20,2
25,Dortmund,Bundesliga,14,26.8,51.0,1,11,90,1.0,3,2,5,2,1,1,2,0,1.2,0.5,0.4,0.9,11,41,13,12,4
26,Eint Frankfurt,Bundesliga,16,25.7,47.0,1,11,90,1.0,1,1,2,1,0,0,3,0,0.5,0.5,0.5,1.0,16,37,9,8,3
27,Elche,La Liga,19,27.8,41.0,3,33,270,3.0,2,2,4,2,0,0,3,0,4.6,4.6,3.8,8.4,63,115,44,35,4
28,Espanyol,La Liga,17,25.8,61.0,2,22,180,2.0,3,1,4,3,0,0,5,0,2.2,2.2,1.9,4.1,48,109,27,30,2
29,Everton,Premier League,15,26.0,56.0,2,22,180,2.0,1,0,1,0,1,2,3,0,4.4,3.0,2.2,5.1,31,74,21,13,7
30,Fiorentina,Serie A,16,26.0,45.0,1,11,90,1.0,1,1,2,1,0,0,4,0,1.1,1.1,1.0,2.1,19,31,18,14,1
31,Freiburg,Bundesliga,15,27.2,39.0,1,11,90,1.0,3,1,4,3,0,0,5,0,1.3,1.3,0.7,2.0,20,20,18,13,3
32,Fulham,Premier League,18,25.7,48.0,2,22,180,2.0,1,0,1,0,1,2,4,0,3.1,1.5,1.4,2.9,28,68,26,26,4
33,Genoa,Serie A,16,25.5,43.0,1,11,90,1.0,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,7,26,13,15,2
34,Getafe,La Liga,15,26.7,65.3,3,33,270,3.0,3,3,6,3,0,0,7,0,2.4,2.4,2.1,4.5,67,142,43,46,6
35,Girona,La Liga,19,27.5,54.0,2,22,180,2.0,8,5,13,7,1,1,2,0,5.7,4.9,3.6,8.5,43,88,25,17,4
36,Gladbach,Bundesliga,16,26.6,39.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,19,18,10,10,4
37,Hamburger SV,Bundesliga,17,26.7,57.0,2,22,180,2.0,2,2,4,2,0,0,5,0,2.5,2.5,1.7,4.2,38,100,29,23,3
38,Heidenheim,Bundesliga,16,25.2,51.0,1,11,90,1.0,3,2,5,2,1,1,3,0,2.4,1.6,1.2,2.8,16,27,12,12,0
39,Hellas Verona,Serie A,16,25.7,62.0,1,11,90,1.0,1,1,2,1,0,0,3,0,0.7,0.7,0.7,1.4,20,45,10,14,2
40,Hoffenheim,Bundesliga,16,26.5,60.0,1,11,90,1.0,1,1,2,1,0,0,0,0,0.7,0.7,0.4,1.1,11,41,9,16,1
41,Inter,Serie A,16,26.9,40.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.8,13,38,6,14,1
42,Juventus,Serie A,16,24.2,36.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,10,15,13,9,0
43,Köln,Bundesliga,16,28.8,51.0,1,11,90,1.0,0,0,0,0,0,0,0,1,1.4,1.4,1.2,2.7,8,31,7,9,5
44,Lazio,Serie A,16,25.0,63.0,1,11,90,1.0,2,1,3,2,0,0,2,0,1.3,1.3,1.1,2.4,26,39,15,12,0
45,Le Havre,Ligue 1,18,27.5,58.0,2,22,180,2.0,4,3,7,3,1,1,1,0,2.8,2.0,1.8,3.8,37,79,21,28,5
46,Lecce,Serie A,19,26.8,56.0,2,22,180,2.0,2,1,3,2,0,0,2,0,2.3,2.3,1.9,4.3,30,52,24,22,4
47,Leeds United,Premier League,18,26.6,56.5,2,22,180,2.0,5,4,9,4,1,1,2,0,3.4,2.6,1.5,4.1,39,71,16,17,2
48,Lens,Ligue 1,19,27.0,45.0,3,33,270,3.0,3,2,5,3,0,0,9,1,4.2,4.2,3.8,8.0,43,80,49,35,3
49,Levante,La Liga,20,26.2,69.7,3,33,270,3.0,6,5,11,6,0,0,2,0,4.2,4.2,3.5,7.7,78,169,37,38,2
50,Leverkusen,Bundesliga,14,26.9,40.0,1,11,90,1.0,2,2,4,2,0,0,4,0,0.4,0.4,0.4,0.8,10,30,17,9,1
51,Lille,Ligue 1,17,27.7,48.0,2,22,180,2.0,3,2,5,3,0,0,4,0,3.2,3.2,2.0,5.2,30,52,25,20,1
52,Liverpool,Premier League,20,27.4,38.5,2,22,180,2.0,4,3,7,4,0,0,4,1,2.7,2.7,2.1,4.8,27,44,27,21,2
53,Lorient,Ligue 1,17,25.6,46.0,2,22,180,2.0,1,1,2,1,0,1,3,2,1.4,0.7,0.3,1.0,19,51,25,30,2
54,Lyon,Ligue 1,17,25.9,51.5,2,22,180,2.0,0,0,0,0,0,0,4,0,1.9,1.9,1.6,3.5,39,86,28,32,8
55,Mainz 05,Bundesliga,16,26.0,49.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.4,1.4,1.3,2.6,11,25,9,7,0
56,Mallorca,La Liga,19,25.2,60.0,2,22,180,2.0,4,3,7,4,0,0,4,0,2.8,2.8,2.5,5.3,33,95,29,19,4
57,Manchester City,Premier League,19,26.8,40.5,2,22,180,2.0,2,1,3,2,0,0,5,0,1.7,1.7,1.1,2.8,26,45,25,14,5
58,Manchester Utd,Premier League,16,26.9,46.0,2,22,180,2.0,2,1,3,2,0,0,5,0,3.1,3.1,1.8,4.9,34,64,31,19,4
59,Marseille,Ligue 1,18,26.0,34.0,2,22,180,2.0,3,2,5,3,0,0,2,1,2.6,2.6,2.2,4.8,21,35,20,18,6
60,Metz,Ligue 1,19,23.7,58.0,2,22,180,2.0,4,3,7,4,0,0,2,0,3.4,3.4,2.3,5.7,40,99,26,29,2
61,Milan,Serie A,17,26.7,40.5,2,22,180,2.0,2,2,4,2,0,0,5,0,0.5,0.5,0.4,1.0,20,59,24,17,2
62,Monaco,Ligue 1,18,26.7,38.0,2,22,180,2.0,2,2,4,2,0,1,2,0,3.5,2.7,2.6,5.2,32,54,21,19,3
63,Nantes,Ligue 1,17,23.2,59.5,2,22,180,2.0,2,2,4,2,0,0,3,0,3.2,3.2,3.0,6.2,51,135,17,15,5
64,Napoli,Serie A,16,25.4,38.0,1,11,90,1.0,0,0,0,0,0,0,3,1,0.4,0.4,0.4,0.7,14,19,17,16,0
65,Newcastle Utd,Premier League,17,27.7,51.5,2,22,180,2.0,3,3,6,3,0,0,4,1,0.9,0.9,0.9,1.8,22,72,28,27,2
66,Nice,Ligue 1,19,24.5,44.0,2,22,180,2.0,2,2,4,2,0,0,5,1,2.1,2.1,1.8,3.9,31,50,28,22,0
67,Nott'ham Forest,Premier League,17,25.5,44.0,2,22,180,2.0,2,1,3,1,1,1,5,0,2.5,1.8,1.6,3.4,34,56,26,16,2
68,Osasuna,La Liga,16,26.1,57.5,2,22,180,2.0,1,0,1,0,1,1,2,1,2.0,1.3,1.2,2.4,35,93,23,24,1
69,Oviedo,La Liga,20,26.1,66.0,2,22,180,2.0,5,4,9,5,0,0,2,0,5.0,5.0,4.3,9.3,82,135,17,15,2
70,Paris FC,Ligue 1,19,27.2,46.0,2,22,180,2.0,6,5,11,5,1,2,3,1,3.2,2.2,1.9,4.2,30,67,23,22,1
71,Paris S-G,Ligue 1,19,25.8,23.5,2,22,180,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,19,24,15,9,1
72,Parma,Serie A,15,25.7,64.0,1,11,90,1.0,2,2,4,2,0,0,1,1,2.3,2.3,2.1,4.4,26,40,9,12,0
73,Pisa,Serie A,16,26.7,66.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.9,1.9,1.0,2.9,35,67,9,10,0
74,Rayo Vallecano,La Liga,19,27.0,42.5,2,22,180,2.0,2,1,3,1,1,1,0,1,2.1,1.3,1.1,2.4,22,61,21,28,1
75,RB Leipzig,Bundesliga,16,28.9,63.0,1,11,90,1.0,6,5,11,6,0,0,4,0,1.7,1.7,1.5,3.2,30,51,13,13,2
76,Real Madrid,La Liga,17,28.9,33.0,2,22,180,2.0,0,0,0,0,0,0,2,1,0.9,0.9,0.3,1.1,29,44,20,16,2
77,Real Sociedad,La Liga,19,27.3,46.0,2,22,180,2.0,3,2,5,2,1,1,3,0,3.8,3.0,2.7,5.7,36,68,23,26,2
78,Rennes,Ligue 1,18,26.4,61.5,2,22,180,2.0,4,3,7,4,0,0,9,0,4.6,4.6,3.4,8.0,54,130,29,15,4
79,Roma,Serie A,15,28.8,49.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.1,11,17,13,15,1
80,Sassuolo,Serie A,22,29.2,52.5,2,22,180,2.0,5,3,8,4,1,1,3,0,3.9,3.1,2.5,5.6,23,69,29,33,0
81,Sevilla,La Liga,18,27.4,38.0,2,22,180,2.0,5,3,8,4,1,1,2,0,3.5,2.7,1.6,4.3,27,60,32,21,1
82,St. Pauli,Bundesliga,17,26.9,48.0,2,22,180,2.0,3,3,6,3,0,1,6,2,1.9,1.1,1.0,2.1,23,68,25,31,4
83,Strasbourg,Ligue 1,19,25.4,44.0,2,22,180,2.0,0,0,0,0,0,0,4,0,0.7,0.7,0.7,1.4,26,39,25,23,3
84,Stuttgart,Bundesliga,15,27.7,25.0,1,11,90,1.0,2,1,3,2,0,0,4,0,0.3,0.3,0.3,0.6,8,15,21,12,2
85,Sunderland,Premier League,17,27.6,52.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.6,1.6,1.4,2.9,24,89,19,13,0
86,Torino,Serie A,16,29.7,60.0,1,11,90,1.0,5,4,9,5,0,0,0,0,1.6,1.6,1.4,3.0,18,47,14,6,4
87,Tottenham,Premier League,17,26.6,47.5,2,22,180,2.0,0,0,0,0,0,0,1,0,2.4,2.4,2.3,4.8,26,61,15,26,4
88,Toulouse,Ligue 1,17,26.1,54.5,2,22,180,2.0,0,0,0,0,0,0,3,0,1.7,1.7,1.4,3.1,26,70,22,25,2
89,Udinese,Serie A,15,26.5,38.0,1,11,90,1.0,1,1,2,1,0,0,2,0,0.5,0.5,0.5,1.0,5,18,14,10,2
90,Union Berlin,Bundesliga,15,26.2,75.0,1,11,90,1.0,1,1,2,1,0,0,4,0,1.7,1.7,1.6,3.3,34,51,13,20,1
91,Valencia,La Liga,18,27.6,48.0,3,33,270,3.0,2,2,4,2,0,0,4,0,2.3,2.3,1.7,4.0,46,100,32,34,9
92,Villarreal,La Liga,18,26.8,39.5,2,22,180,2.0,0,0,0,0,0,1,4,1,1.1,0.3,0.2,0.5,25,60,17,15,1
93,Werder Bremen,Bundesliga,15,24.8,53.0,1,11,90,1.0,4,4,8,4,0,0,1,0,2.7,2.7,2.6,5.3,14,40,9,9,2
