Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
1,Tammy Abraham,ENG,Att,Milan,27-119,1997,6,2,276,3.1,2,1,3,2,0,0,0,0,1.1,1.1,0.6,1.7,8,6,7,3,5,11,0
2,Francesco Acerbi,ITA,Dif,Inter,36-354,1988,2,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0,0,0,0
3,Arijan Ademi,MKD,Cen,Dinamo Zagreb,33-245,1991,5,3,218,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,2,6,5,0,6,3,2
4,Karim Adeyemi,GER,Att.Cen,Dortmund,23-011,2002,3,2,160,1.8,3,0,3,3,0,0,1,0,0.4,0.4,0.3,0.7,10,3,7,5,2,4,0
5,Amine Adli,MAR,Cen,Leverkusen,24-264,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,6,2,2,4,1,2
6,Vasilije Adžić,MNE,Att,Juventus,18-262,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
7,Michel Aebischer,SUI,Cen,Bologna,28-023,1997,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0,4,0,0
8,Emanuel Aiwum,AUT,Dif,Sturm Graz,24-035,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,1,0,13,7,0
9,Ludovic Ajorque,FRA,Att,Brest,30-339,1994,6,6,472,5.2,0,2,2,0,0,0,3,0,0.6,0.6,2.0,2.7,2,5,11,4,12,6,2
10,Manuel Akanji,SUI,Dif,Manchester City,29-194,1995,6,6,509,5.7,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,8,50,2,0,5,2,0
11,Nathan Aké,NED,Dif,Manchester City,29-346,1995,2,2,141,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,9,2,1,3,0,0
12,Maghnes Akliouche,FRA,Att.Cen,Monaco,22-339,2002,7,7,630,7.0,2,1,3,2,0,0,0,0,1.3,1.3,1.3,2.6,28,38,16,6,8,12,4
13,Kerem Aktürkoğlu,TUR,Att,Benfica,26-100,1998,7,7,536,6.0,3,0,3,3,0,0,1,0,2.9,2.9,0.2,3.1,14,10,11,6,4,3,3
