Pos.,Giocatore,Nazione,Ruolo,Squadra,Competizione,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
1,Max Aarons,ENG,Dif,Bournemouth,Premier League,25-022,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,0,0,2,0
2,Rodrigo Abajas,ESP,Dif,Valencia,La Liga,21-259,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,1,0,2,0,1
3,James Abankwah,IRL,Dif.Cen,Udinese,Serie A,21-010,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0,4,3,0
4,Keyliane Abdallah,FRA,Att,Marseille,Ligue 1,18-296,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,Dif,Saint-Étienne,Ligue 1,37-120,1987,11,11,936,10.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,4,22,2,1,16,6,0
6,Himad Abdelli,ALG,Cen.Att,Angers,Ligue 1,25-070,1999,18,18,1.592,17.7,4,1,5,2,2,3,1,0,4.2,1.8,2.6,4.5,70,126,20,5,28,20,2
7,Mohamed Abdelmoneim,EGY,Dif,Nice,Ligue 1,25-360,1999,8,7,608,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,0,0,4,6,0
8,Ali Abdi,TUN,Dif.Cen,Nice,Ligue 1,31-037,1993,10,7,675,7.5,2,2,4,2,0,0,1,0,1.1,1.1,1.3,2.5,20,21,15,5,12,3,1
9,Saud Abdulhamid,KSA,Dif,Roma,Serie A,25-192,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,1,0,1,4,0
10,Abel,ESP,Dif,Osasuna,La Liga,24-158,2000,20,12,1.224,13.6,2,0,2,2,0,0,2,0,0.4,0.4,0.6,1.0,31,45,9,3,12,15,1
