Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Lyon,2,2,0,0,4,0,4,6,4.2,1.9,ligue 1
2,Toulouse,2,2,0,0,3,0,3,6,1.9,1.7,ligue 1
3,Paris S-G,2,2,0,0,2,0,2,6,3.3,0.4,ligue 1
4,Strasbourg,2,2,0,0,2,0,2,6,2.4,0.7,ligue 1
5,Lens,3,2,0,1,5,3,2,6,6.3,4.2,ligue 1
6,Lille,2,1,1,0,4,3,1,4,4.5,3.2,ligue 1
7,Lorient,2,1,0,1,4,1,3,3,4.3,1.4,ligue 1
8,Marseille,2,1,0,1,5,3,2,3,4.0,2.6,ligue 1
9,Nice,2,1,0,1,3,2,1,3,2.6,2.1,ligue 1
10,Monaco,2,1,0,1,3,2,1,3,3.0,3.5,ligue 1
11,Angers,2,1,0,1,1,1,0,3,1.2,2.8,ligue 1
12,Auxerre,2,1,0,1,2,3,-1,3,2.8,3.2,ligue 1
13,Rennes,2,1,0,1,1,4,-3,3,1.5,4.6,ligue 1
14,Brest,3,0,1,2,4,8,-4,1,3.9,6.7,ligue 1
15,Nantes,2,0,0,2,0,2,-2,0,0.6,3.2,ligue 1
16,Le Havre,2,0,0,2,2,5,-3,0,2.3,2.8,ligue 1
17,Paris FC,2,0,0,2,2,6,-4,0,2.0,3.2,ligue 1
18,Metz,2,0,0,2,0,4,-4,0,0.9,3.4,ligue 1
