Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Napoli,22,17,2,3,37,15,22,53,31.8,17.4,serie a
2,Inter,21,15,5,1,55,18,37,50,41.1,17.2,serie a
3,Atalanta,22,14,4,4,48,25,23,46,36.8,21.2,serie a
4,Lazio,22,12,3,7,38,30,8,39,33.3,24.1,serie a
5,Juventus,22,8,13,1,35,19,16,37,30.3,19.2,serie a
6,Fiorentina,21,10,6,5,35,22,13,36,29.0,20.8,serie a
7,Milan,21,9,7,5,32,23,9,34,35.3,21.9,serie a
8,Bologna,21,8,10,3,33,27,6,34,27.2,21.7,serie a
9,Roma,22,8,6,8,33,28,5,30,32.2,27.8,serie a
10,Torino,22,6,8,8,23,26,-3,26,20.5,27.4,serie a
11,Udinese,22,7,5,10,25,34,-9,26,20.0,30.9,serie a
12,Genoa,22,6,8,8,20,30,-10,26,23.3,30.0,serie a
13,Como,22,5,7,10,27,36,-9,22,26.2,23.2,serie a
14,Empoli,22,4,9,9,21,29,-8,21,18.0,28.9,serie a
15,Cagliari,22,5,6,11,23,36,-13,21,28.6,36.1,serie a
16,Parma,22,4,8,10,28,39,-11,20,26.9,40.8,serie a
17,Hellas Verona,22,6,2,14,25,48,-23,20,21.9,34.5,serie a
18,Lecce,22,5,5,12,15,40,-25,20,21.5,35.0,serie a
19,Venezia,22,3,7,12,20,35,-15,16,20.3,35.7,serie a
20,Monza,22,2,7,13,20,33,-13,13,18.7,29.0,serie a
