Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Falli commessi,Falli subiti,Fuorigioco
1,Alavés,La Liga,25,27.1,43.8,20,220,1.800,20.0,24,12,36,20,4,5,54,2,22.2,18.2,12.6,30.8,250,607,324,255,41
2,Angers,Ligue 1,23,28.1,42.4,19,209,1.710,19.0,20,13,33,17,3,4,26,1,22.5,19.3,15.7,35.0,294,558,213,234,37
3,Arsenal,Premier League,24,26.4,55.2,23,253,2.070,23.0,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,475,1052,264,250,50
4,Aston Villa,Premier League,24,27.6,49.5,23,253,2.070,23.0,33,26,59,31,2,3,50,2,33.7,31.4,24.6,55.9,403,769,274,299,29
5,Atalanta,Serie A,28,27.3,56.0,22,242,1.980,22.0,47,34,81,44,3,4,45,0,36.8,33.7,27.2,60.9,488,1065,264,247,37
6,Athletic Club,La Liga,28,27.4,48.4,21,231,1.890,21.0,31,25,56,30,1,3,40,3,29.6,27.2,21.9,49.1,404,896,272,222,35
7,Atlético Madrid,La Liga,24,29.1,53.0,21,231,1.890,21.0,35,28,63,34,1,2,48,1,36.2,34.7,27.5,62.1,412,901,223,214,35
8,Augsburg,Bundesliga,28,27.3,43.5,19,209,1.710,19.0,23,15,38,22,1,2,51,2,20.2,18.6,13.3,31.9,240,647,209,215,35
9,Auxerre,Ligue 1,27,26.5,42.3,19,209,1.710,19.0,25,18,43,23,2,3,38,4,22.8,20.6,17.6,38.2,263,638,225,204,29
10,Barcelona,La Liga,27,25.0,67.0,21,231,1.890,21.0,58,42,100,55,3,4,35,2,54.2,51.1,42.8,93.9,466,1190,192,264,45
11,Bayern Munich,Bundesliga,25,28.4,70.7,19,209,1.710,19.0,56,36,92,49,7,7,29,0,46.2,40.8,33.4,74.2,495,1241,161,199,28
12,Betis,La Liga,33,27.7,51.1,21,231,1.890,21.0,21,14,35,18,3,4,46,3,29.6,26.6,20.9,47.5,329,801,252,297,30
13,Bochum,Bundesliga,23,28.7,43.2,19,209,1.710,19.0,17,13,30,16,1,2,37,1,22.0,20.4,17.0,37.5,207,560,261,166,31
14,Bologna,Serie A,27,26.8,57.0,21,231,1.890,21.0,33,23,56,29,4,5,34,3,27.2,23.3,16.8,40.1,344,855,312,321,31
15,Bournemouth,Premier League,28,25.8,46.1,23,253,2.070,23.0,41,30,71,35,6,7,59,0,44.0,38.5,29.7,68.2,443,919,309,233,41
16,Brentford,Premier League,26,26.5,47.7,23,253,2.070,23.0,42,27,69,38,4,4,35,1,36.7,33.6,27.0,60.6,363,832,180,205,47
17,Brest,Ligue 1,26,28.6,48.7,19,209,1.710,19.0,29,18,47,23,6,8,37,1,24.3,18.0,14.0,32.0,262,603,244,220,27
18,Brighton,Premier League,30,25.7,53.1,23,253,2.070,23.0,34,22,56,33,1,1,51,1,31.4,30.7,22.1,52.8,507,969,273,262,25
19,Cagliari,Serie A,25,27.3,46.9,22,242,1.980,22.0,22,17,39,19,3,3,45,3,28.6,26.2,20.0,46.3,304,707,291,231,45
20,Celta Vigo,La Liga,29,27.6,53.4,20,220,1.800,20.0,28,19,47,26,2,3,47,5,28.4,26.0,21.4,47.4,375,817,225,248,41
21,Chelsea,Premier League,27,24.1,57.7,23,253,2.070,23.0,45,34,79,42,3,3,68,1,47.0,44.6,35.6,80.2,530,949,269,276,40
22,Como,Serie A,32,27.5,54.2,22,242,1.980,22.0,23,20,43,23,0,2,48,3,26.2,24.7,21.1,45.8,385,770,282,287,41
23,Crystal Palace,Premier League,26,26.8,43.9,23,253,2.070,23.0,25,20,45,23,2,2,47,1,31.2,29.6,24.1,53.7,314,752,247,257,39
24,Dortmund,Bundesliga,25,27.0,59.5,19,209,1.710,19.0,33,24,57,29,4,4,45,5,26.7,23.7,20.0,43.7,391,822,189,194,23
25,Eint Frankfurt,Bundesliga,24,25.7,49.4,19,209,1.710,19.0,44,30,74,41,3,3,30,1,37.4,35.0,26.9,61.9,356,732,188,183,30
26,Empoli,Serie A,27,25.8,40.6,22,242,1.980,22.0,20,13,33,18,2,3,40,1,18.0,15.6,12.2,27.9,255,574,330,267,30
27,Espanyol,La Liga,26,26.0,40.1,21,231,1.890,21.0,19,15,34,18,1,1,57,0,18.0,17.2,13.4,30.6,273,574,294,248,35
28,Everton,Premier League,24,29.1,40.0,22,242,1.980,22.0,16,9,25,15,1,1,48,1,21.9,21.1,16.4,37.5,290,601,261,216,56
29,Fiorentina,Serie A,29,26.6,51.5,21,231,1.890,21.0,34,22,56,29,5,6,42,2,29.0,24.3,19.9,44.2,392,766,239,305,48
30,Freiburg,Bundesliga,25,27.8,47.8,19,209,1.710,19.0,25,18,43,25,0,3,31,2,23.3,21.0,14.4,35.4,242,607,163,178,32
31,Fulham,Premier League,25,28.5,52.8,23,253,2.070,23.0,33,29,62,30,3,4,51,2,32.4,29.2,24.9,54.1,504,944,248,239,30
32,Genoa,Serie A,32,27.1,43.7,21,231,1.890,21.0,17,11,28,17,0,1,45,0,20.7,19.8,14.6,34.4,256,548,263,221,35
33,Getafe,La Liga,27,27.8,43.2,21,231,1.890,21.0,17,9,26,13,4,4,63,1,20.2,17.1,12.4,29.6,230,568,349,284,55
34,Girona,La Liga,28,27.8,58.0,21,231,1.890,21.0,28,20,48,25,3,3,48,1,26.2,24.0,19.3,43.2,423,1009,232,243,38
35,Gladbach,Bundesliga,23,27.2,51.0,19,209,1.710,19.0,29,22,51,27,2,3,31,1,29.3,26.8,22.2,49.0,291,632,209,202,37
36,Heidenheim,Bundesliga,25,27.3,43.6,19,209,1.710,19.0,24,15,39,21,3,3,38,1,25.2,22.8,17.8,40.6,282,553,226,223,25
37,Hellas Verona,Serie A,27,25.9,38.6,21,231,1.890,21.0,22,16,38,20,2,2,60,7,20.2,18.7,15.7,34.4,246,567,298,180,29
38,Hoffenheim,Bundesliga,31,27.1,49.7,19,209,1.710,19.0,25,14,39,23,2,2,37,1,24.9,23.4,19.0,42.3,274,728,220,211,35
